Income (Median household income) for California by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2018-2022"
Sorted by Value

County,FIPS,Value (Dollars),Rank within US (of 3142 counties)
"United States",00000,"75,149","N/A"
"California",06000,"91,905","6 of 52"
"Trinity County",06105,"47,317","2,704"
"Imperial County",06025,"53,847","2,245"
"Siskiyou County",06093,"53,898","2,243"
"Modoc County",06049,"54,962","2,161"
"Lake County",06033,"56,259","2,035"
"Humboldt County",06023,"57,881","1,878"
"Tehama County",06103,"59,029","1,753"
"Lassen County",06035,"59,515","1,704"
"Mariposa County",06043,"60,021","1,646"
"Sierra County",06091,"61,108","1,554"
"Del Norte County",06015,"61,149","1,551"
"Mendocino County",06045,"61,335","1,524"
"Inyo County",06027,"63,417","1,336"
"Kern County",06029,"63,883","1,303"
"Glenn County",06021,"64,033","1,287"
"Tulare County",06107,"64,474","1,245"
"Merced County",06047,"64,772","1,224"
"Butte County",06007,"66,085","1,130"
"Yuba County",06115,"66,693","1,065"
"Fresno County",06019,"67,756","992"
"Plumas County",06063,"67,885","983"
"Shasta County",06089,"68,347","944"
"Kings County",06031,"68,540","930"
"Colusa County",06011,"69,619","865"
"Tuolumne County",06109,"70,432","795"
"Sutter County",06101,"72,654","680"
"Madera County",06039,"73,543","635"
"Amador County",06005,"74,853","587"
"Stanislaus County",06099,"74,872","585"
"San Bernardino County",06071,"77,423","489"
"Calaveras County",06009,"77,526","485"
"Nevada County",06057,"79,395","425"
"Mono County",06051,"82,038","349"
"San Joaquin County",06077,"82,837","325"
"Los Angeles County",06037,"83,411","314"
"Sacramento County",06067,"84,010","296"
"Riverside County",06065,"84,505","282"
"Yolo County",06113,"85,097","274"
"San Luis Obispo County",06079,"90,158","210"
"Monterey County",06053,"91,043","203"
"Santa Barbara County",06083,"92,332","188"
"San Diego County",06073,"96,974","137"
"Solano County",06095,"97,037","136"
"El Dorado County",06017,"99,246","127"
"Sonoma County",06097,"99,266","125"
"Alpine County",06003,"101,125","107"
"Ventura County",06111,"102,141","102"
"Santa Cruz County",06087,"104,409","89"
"San Benito County",06069,"104,451","88"
"Napa County",06055,"105,809","78"
"Orange County",06059,"109,361","64"
"Placer County",06061,"109,375","63"
"Contra Costa County",06013,"120,020","35"
"Alameda County",06001,"122,488","29"
"San Francisco County",06075,"136,689","11"
"Marin County",06041,"142,019","6"
"San Mateo County",06081,"149,907","4"
"Santa Clara County",06085,"153,792","3"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 12/9/2024. Available from https://hdpulse.nimhd.nih.gov

Notes:
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income (Median household income), see the dictionary at http://hdpulse.nimhd.nih.gov/data/dictionary.php#income."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
