_id,COUNTY,YEARS,STRATA,AGE GROUP,CURRENT PREVALENCE,95% CONFIDENCE INTERVAL,COUNTIES GROUPED,COMMENT
1,California,2015–2016,Total population,All ages,8.7,(8.1–9.3),,
2,Alameda,2015–2016,Total population,All ages,9.1,(5.9–12.2),,
3,Alpine,2015–2016,Total population,All ages,9.3,(4.1–14.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
4,Amador,2015–2016,Total population,All ages,9.3,(4.1–14.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
5,Butte,2015–2016,Total population,All ages,9.4,(3.8–15.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
6,Calaveras,2015–2016,Total population,All ages,9.3,(4.1–14.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
7,Colusa,2015–2016,Total population,All ages,7.3,(2.7–12.0),"Colusa, Glenn, and Tehama counties combined combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
8,Contra Costa,2015–2016,Total population,All ages,12.1,(5.2–19.1),,
9,Del Norte,2015–2016,Total population,All ages,7.2,(1.2–13.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
10,El Dorado,2015–2016,Total population,All ages,12.1,(2.9–21.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
11,Fresno,2015–2016,Total population,All ages,11.3,(6.2–16.4),,
12,Glenn,2015–2016,Total population,All ages,7.3,(2.7–12.0),"Colusa, Glenn, and Tehama counties combined combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
13,Humboldt,2015–2016,Total population,All ages,12.5,(3.4–21.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
14,Imperial,2015–2016,Total population,All ages,12.1,(6.9–17.4),,
15,Inyo,2015–2016,Total population,All ages,9.3,(4.1–14.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
16,Kern,2015–2016,Total population,All ages,16.7,(9.3–24.0),,
17,Kings,2015–2016,Total population,All ages,15.8,(7.9–23.6),,
18,Lake,2015–2016,Total population,All ages,17.3,(9.1–25.6),,
19,Lassen,2015–2016,Total population,All ages,7.2,(1.2–13.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
20,Los Angeles,2015–2016,Total population,All ages,7.8,(6.6–9.0),,
21,Madera,2015–2016,Total population,All ages,10.3,(3.3–17.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
22,Marin,2015–2016,Total population,All ages,6.8,(4.5–9.1),,
23,Mariposa,2015–2016,Total population,All ages,9.3,(4.1–14.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
24,Mendocino,2015–2016,Total population,All ages,9.3,(3.8–14.8),,
25,Merced,2015–2016,Total population,All ages,10.3,(3.8–16.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
26,Modoc,2015–2016,Total population,All ages,7.2,(1.2–13.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
27,Mono,2015–2016,Total population,All ages,9.3,(4.1–14.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
28,Monterey,2015–2016,Total population,All ages,8.8,(3.7–14.0),,
29,Napa,2015–2016,Total population,All ages,,,,Prevalence not available due to unreliable estimate
30,Nevada,2015–2016,Total population,All ages,6.2,(2.0–10.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
31,Orange,2015–2016,Total population,All ages,6.7,(3.9–9.5),,
32,Placer,2015–2016,Total population,All ages,8.4,(3.9–13.0),,
33,Plumas,2015–2016,Total population,All ages,7.2,(1.2–13.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
34,Riverside,2015–2016,Total population,All ages,10.2,(6.3–14.1),,
35,Sacramento,2015–2016,Total population,All ages,9.6,(6.3–12.8),,
36,San Benito,2015–2016,Total population,All ages,5.3,(1.0–9.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
